id;englishTitle;japaneseTitle;startDate;endDate;year;subtype;status;posterImage;episodeCount;episodeLength;totalLength
1;Instant History;インスタントヒストリー;01/05/1961;25/02/1962;1961;TV;finished;https://media.kitsu.io/anime/poster_images/10113/small.jpg?1419419439;312;3;936
2;Otogi Manga Calendar;おとぎマンガカレンダー;25/06/1962;25/06/1964;1962;TV;finished;https://media.kitsu.io/anime/poster_images/7098/small.jpg?1408460268;312;5;1560
3;Tetsuwan Atom;鉄腕アトム;01/01/1963;31/12/1966;1963;TV;finished;https://media.kitsu.io/anime/poster_images/2507/small.jpg?1486236390;193;26;5018
4;Ginga Shounen Tai;銀河少年隊;07/04/1963;01/04/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/11372/small.jpg?1442431202;92;21;1932
5;Sennin Buraku;仙人部落;04/09/1963;23/02/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/5179/small.jpg?1408454577;23;15;345
6;Tetsujin 28-gou;鉄人２８号;20/10/1963;27/05/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/2448/small.jpg?1408446728;96;25;2400
7;Eightman;エイトマン;07/11/1963;24/12/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/3906/small.jpg?1486236864;56;23;25
8;Ookami Shounen Ken;狼少年ケン;25/11/1963;16/08/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/9916/small.jpg?1413322652;86;24;2064
9;Shisukon Ouji;シスコン王子;20/12/1963;27/03/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/9590/small.jpg?1412324525;14;25;350
10;0-sen Hayato;0戦はやと;21/01/1964;27/10/1964;1964;TV;finished;https://media.kitsu.io/anime/poster_images/6806/small.jpg?1597691038;38;15;570
11;Big X;ビッグX;08/03/1964;27/09/1965;1964;TV;finished;https://media.kitsu.io/anime/poster_images/5809/small.jpg?1597690852;59;25;1475
12;Shounen Ninja Kaze no Fujimaru;少年忍者風のフジ丸;07/06/1964;31/08/1965;1964;TV;finished;https://media.kitsu.io/anime/poster_images/6936/small.jpg?1597691011;65;24;1560
13;Mirai Kara Kita Shounen Super Jetter;未来から来た少年 スーパージェッター;07/01/1965;20/01/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/7380/small.jpg?1597690701;52;25;1300
